ckpt_path: ./log/train/model.ckpt-1011
Tensor("shigenet2/branch_crop/pw-conv3/Relu:0", shape=(?, 1, 1, 10), dtype=float32)
771 1.0 [b'000835.jpg'] [b'IMG_2316'] engi1_l engi1_l
772 1.0 [b'000836.jpg'] [b'IMG_2316'] engi1_l engi1_l
773 1.0 [b'000837.jpg'] [b'IMG_2316'] engi1_l engi1_l
774 1.0 [b'000838.jpg'] [b'IMG_2316'] engi1_l engi1_l
775 1.0 [b'000839.jpg'] [b'IMG_2316'] engi1_l engi1_l
776 1.0 [b'000840.jpg'] [b'IMG_2316'] engi1_l engi1_l
777 1.0 [b'000841.jpg'] [b'IMG_2316'] engi1_l engi1_l
778 1.0 [b'000842.jpg'] [b'IMG_2316'] engi1_l engi1_l
779 1.0 [b'000843.jpg'] [b'IMG_2316'] engi1_l engi1_l
780 1.0 [b'000844.jpg'] [b'IMG_2316'] engi1_l engi1_l
781 1.0 [b'000845.jpg'] [b'IMG_2316'] engi1_l engi1_l
782 1.0 [b'000846.jpg'] [b'IMG_2316'] engi1_l engi1_l
783 1.0 [b'000847.jpg'] [b'IMG_2316'] engi1_l engi1_l
784 1.0 [b'000848.jpg'] [b'IMG_2316'] engi1_l engi1_l
785 1.0 [b'000849.jpg'] [b'IMG_2316'] engi1_l engi1_l
786 1.0 [b'000850.jpg'] [b'IMG_2316'] engi1_l engi1_l
787 1.0 [b'000851.jpg'] [b'IMG_2316'] engi1_l engi1_l
788 1.0 [b'000852.jpg'] [b'IMG_2316'] engi1_l engi1_l
789 1.0 [b'000853.jpg'] [b'IMG_2316'] engi1_l engi1_l
790 1.0 [b'000854.jpg'] [b'IMG_2316'] engi1_l engi1_l
791 1.0 [b'000855.jpg'] [b'IMG_2316'] engi1_l engi1_l
792 1.0 [b'000856.jpg'] [b'IMG_2316'] engi1_l engi1_l
793 1.0 [b'000857.jpg'] [b'IMG_2316'] engi1_l engi1_l
794 1.0 [b'000858.jpg'] [b'IMG_2316'] engi1_l engi1_l
795 1.0 [b'000859.jpg'] [b'IMG_2316'] engi1_l engi1_l
796 1.0 [b'000860.jpg'] [b'IMG_2316'] engi1_l engi1_l
797 1.0 [b'000861.jpg'] [b'IMG_2316'] engi1_l engi1_l
798 1.0 [b'000862.jpg'] [b'IMG_2316'] engi1_l engi1_l
799 1.0 [b'000863.jpg'] [b'IMG_2316'] engi1_l engi1_l
800 1.0 [b'000864.jpg'] [b'IMG_2316'] engi1_l engi1_l
801 1.0 [b'000865.jpg'] [b'IMG_2316'] engi1_l engi1_l
802 1.0 [b'000866.jpg'] [b'IMG_2316'] engi1_l engi1_l
803 1.0 [b'000867.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
804 1.0 [b'000868.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
805 1.0 [b'000869.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
806 0.0 [b'000870.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_r
807 1.0 [b'000871.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
808 1.0 [b'000872.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
809 1.0 [b'000873.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
810 1.0 [b'000874.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
811 1.0 [b'000875.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
812 1.0 [b'000876.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
813 1.0 [b'000877.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
814 1.0 [b'000878.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
815 1.0 [b'000879.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
816 1.0 [b'000880.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
817 1.0 [b'000881.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
818 1.0 [b'000882.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
819 0.0 [b'000883.jpg'] [b'0831_afternoon_engi1_l'] engi1_l kawakami_kitsuenjo
820 1.0 [b'000884.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
821 0.0 [b'000885.jpg'] [b'0831_afternoon_engi1_l'] engi1_l izumikawa_r
822 1.0 [b'000886.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
823 1.0 [b'000887.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
824 1.0 [b'000888.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
825 1.0 [b'000889.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
826 1.0 [b'000890.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
827 1.0 [b'000891.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
828 1.0 [b'000892.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
829 1.0 [b'000893.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
830 1.0 [b'000894.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
831 1.0 [b'000895.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
832 1.0 [b'000896.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
833 1.0 [b'000897.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
834 1.0 [b'000898.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
835 1.0 [b'000899.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
836 1.0 [b'000900.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
837 1.0 [b'000901.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
838 1.0 [b'000902.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
839 1.0 [b'000903.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
840 1.0 [b'000904.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
841 1.0 [b'000905.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
842 1.0 [b'000906.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
843 1.0 [b'000907.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
844 1.0 [b'000908.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
845 1.0 [b'000909.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
846 1.0 [b'000910.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
847 1.0 [b'000911.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
848 1.0 [b'000912.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
849 1.0 [b'000913.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
850 0.0 [b'000914.jpg'] [b'0831_afternoon_engi1_l'] engi1_l kawakami_kitsuenjo
851 1.0 [b'000915.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
852 1.0 [b'000916.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
853 1.0 [b'000917.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
854 1.0 [b'000918.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
855 1.0 [b'000919.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
856 1.0 [b'000920.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
857 1.0 [b'000921.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
858 1.0 [b'000922.jpg'] [b'0831_afternoon_engi1_l'] engi1_l engi1_l
859 1.0 [b'000923.jpg'] [b'IMG_2514'] engi1_l engi1_l
860 1.0 [b'000924.jpg'] [b'IMG_2514'] engi1_l engi1_l
861 1.0 [b'000925.jpg'] [b'IMG_2514'] engi1_l engi1_l
862 1.0 [b'000926.jpg'] [b'IMG_2514'] engi1_l engi1_l
863 1.0 [b'000927.jpg'] [b'IMG_2514'] engi1_l engi1_l
864 1.0 [b'000928.jpg'] [b'IMG_2514'] engi1_l engi1_l
865 1.0 [b'000929.jpg'] [b'IMG_2514'] engi1_l engi1_l
866 1.0 [b'000930.jpg'] [b'IMG_2514'] engi1_l engi1_l
867 1.0 [b'000931.jpg'] [b'IMG_2514'] engi1_l engi1_l
868 1.0 [b'000932.jpg'] [b'IMG_2514'] engi1_l engi1_l
869 1.0 [b'000933.jpg'] [b'IMG_2514'] engi1_l engi1_l
870 1.0 [b'000934.jpg'] [b'IMG_2514'] engi1_l engi1_l
871 1.0 [b'000935.jpg'] [b'IMG_2514'] engi1_l engi1_l
872 1.0 [b'000936.jpg'] [b'IMG_2514'] engi1_l engi1_l
873 1.0 [b'000937.jpg'] [b'IMG_2514'] engi1_l engi1_l
874 1.0 [b'000938.jpg'] [b'IMG_2514'] engi1_l engi1_l
875 1.0 [b'000939.jpg'] [b'IMG_2514'] engi1_l engi1_l
876 1.0 [b'000940.jpg'] [b'IMG_2514'] engi1_l engi1_l
877 1.0 [b'000941.jpg'] [b'IMG_2514'] engi1_l engi1_l
878 1.0 [b'000942.jpg'] [b'IMG_2514'] engi1_l engi1_l
879 1.0 [b'000943.jpg'] [b'IMG_2514'] engi1_l engi1_l
880 1.0 [b'000944.jpg'] [b'IMG_2514'] engi1_l engi1_l
881 1.0 [b'000945.jpg'] [b'IMG_2514'] engi1_l engi1_l
882 1.0 [b'000946.jpg'] [b'IMG_2514'] engi1_l engi1_l
883 1.0 [b'000947.jpg'] [b'IMG_2514'] engi1_l engi1_l
884 1.0 [b'000948.jpg'] [b'IMG_2514'] engi1_l engi1_l
885 1.0 [b'000949.jpg'] [b'IMG_2514'] engi1_l engi1_l
886 1.0 [b'000950.jpg'] [b'IMG_2514'] engi1_l engi1_l
887 0.0 [b'000951.jpg'] [b'IMG_2514'] engi1_l engi1_r
888 1.0 [b'000952.jpg'] [b'IMG_2514'] engi1_l engi1_l
889 1.0 [b'000953.jpg'] [b'IMG_2514'] engi1_l engi1_l
890 1.0 [b'000954.jpg'] [b'IMG_2514'] engi1_l engi1_l
891 1.0 [b'000955.jpg'] [b'IMG_2514'] engi1_l engi1_l
892 1.0 [b'000956.jpg'] [b'IMG_2514'] engi1_l engi1_l
893 1.0 [b'000957.jpg'] [b'IMG_2514'] engi1_l engi1_l
894 1.0 [b'000958.jpg'] [b'IMG_2514'] engi1_l engi1_l
895 1.0 [b'000959.jpg'] [b'IMG_2514'] engi1_l engi1_l
896 1.0 [b'000960.jpg'] [b'IMG_2514'] engi1_l engi1_l
897 1.0 [b'000961.jpg'] [b'IMG_2514'] engi1_l engi1_l
898 1.0 [b'000962.jpg'] [b'IMG_2514'] engi1_l engi1_l
899 1.0 [b'000963.jpg'] [b'IMG_2514'] engi1_l engi1_l
900 1.0 [b'000964.jpg'] [b'IMG_2514'] engi1_l engi1_l
901 1.0 [b'000965.jpg'] [b'IMG_2514'] engi1_l engi1_l
902 1.0 [b'000966.jpg'] [b'IMG_2514'] engi1_l engi1_l
903 0.0 [b'000967.jpg'] [b'IMG_2514'] engi1_l corp_r
904 1.0 [b'000968.jpg'] [b'IMG_2514'] engi1_l engi1_l
905 1.0 [b'000969.jpg'] [b'IMG_2514'] engi1_l engi1_l
906 1.0 [b'000970.jpg'] [b'IMG_2514'] engi1_l engi1_l
907 1.0 [b'000971.jpg'] [b'IMG_2514'] engi1_l engi1_l
908 1.0 [b'000972.jpg'] [b'IMG_2514'] engi1_l engi1_l
909 1.0 [b'000973.jpg'] [b'IMG_2514'] engi1_l engi1_l
910 1.0 [b'000974.jpg'] [b'IMG_2514'] engi1_l engi1_l
911 1.0 [b'000975.jpg'] [b'IMG_2514'] engi1_l engi1_l
912 1.0 [b'000976.jpg'] [b'IMG_2514'] engi1_l engi1_l
913 1.0 [b'000977.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
914 1.0 [b'000978.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
915 1.0 [b'000979.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
916 1.0 [b'000980.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
917 1.0 [b'000981.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
918 1.0 [b'000982.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
919 1.0 [b'000983.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
920 1.0 [b'000984.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
921 1.0 [b'000985.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
922 1.0 [b'000986.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
923 1.0 [b'000987.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
924 1.0 [b'000988.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
925 1.0 [b'000989.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
926 1.0 [b'000990.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
927 1.0 [b'000991.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
928 1.0 [b'000992.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
929 1.0 [b'000993.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
930 1.0 [b'000994.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
931 1.0 [b'000995.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
932 1.0 [b'000996.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
933 1.0 [b'000997.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
934 1.0 [b'000998.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
935 1.0 [b'000999.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
936 1.0 [b'001000.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
937 1.0 [b'001001.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
938 1.0 [b'001002.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
939 1.0 [b'001003.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
940 1.0 [b'001004.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
941 1.0 [b'001005.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
942 1.0 [b'001006.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
943 1.0 [b'001007.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
944 1.0 [b'001008.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
945 1.0 [b'001009.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
946 1.0 [b'001010.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
947 1.0 [b'001011.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
948 1.0 [b'001012.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
949 1.0 [b'001013.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
950 1.0 [b'001014.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
951 1.0 [b'001015.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
952 1.0 [b'001016.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
953 1.0 [b'001017.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
954 1.0 [b'001018.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
955 1.0 [b'001019.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
956 1.0 [b'001020.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
957 1.0 [b'001021.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
958 1.0 [b'001022.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
959 1.0 [b'001023.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
960 1.0 [b'001024.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
961 1.0 [b'001025.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
962 1.0 [b'001026.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
963 1.0 [b'001027.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
964 1.0 [b'001028.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
965 1.0 [b'001029.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
966 1.0 [b'001030.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
967 1.0 [b'001031.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
968 1.0 [b'001032.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
969 1.0 [b'001033.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
970 1.0 [b'001034.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
971 1.0 [b'001035.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
972 1.0 [b'001036.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
973 1.0 [b'001037.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
974 1.0 [b'001038.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
975 1.0 [b'001039.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
976 1.0 [b'001040.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
977 1.0 [b'001041.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
978 1.0 [b'001042.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
979 1.0 [b'001043.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
980 1.0 [b'001044.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
981 1.0 [b'001045.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
982 1.0 [b'001046.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
983 1.0 [b'001047.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
984 1.0 [b'001048.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
985 1.0 [b'001049.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
986 1.0 [b'001050.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
987 1.0 [b'001051.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
988 1.0 [b'001052.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
989 1.0 [b'001053.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
990 1.0 [b'001054.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
991 1.0 [b'001055.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
992 1.0 [b'001056.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
993 1.0 [b'001057.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
994 1.0 [b'001058.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
995 1.0 [b'001059.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
996 1.0 [b'001060.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
997 1.0 [b'001061.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
998 1.0 [b'001062.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
999 1.0 [b'001063.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1000 1.0 [b'001064.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1001 1.0 [b'001065.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1002 1.0 [b'001066.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1003 1.0 [b'001067.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1004 1.0 [b'001068.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1005 1.0 [b'001069.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1006 1.0 [b'001070.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1007 1.0 [b'001071.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1008 1.0 [b'001072.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1009 1.0 [b'001073.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1010 1.0 [b'001074.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1011 1.0 [b'001075.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1012 1.0 [b'001076.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1013 1.0 [b'001077.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1014 1.0 [b'001078.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1015 1.0 [b'001079.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1016 1.0 [b'001080.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1017 1.0 [b'001081.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1018 1.0 [b'001082.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1019 1.0 [b'001083.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1020 1.0 [b'001084.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1021 1.0 [b'001085.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1022 1.0 [b'001086.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1023 1.0 [b'001087.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1024 1.0 [b'001088.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1025 1.0 [b'001089.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1026 1.0 [b'001090.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1027 1.0 [b'001091.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1028 1.0 [b'001092.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1029 1.0 [b'001093.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1030 1.0 [b'001094.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1031 1.0 [b'001095.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1032 1.0 [b'001096.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1033 1.0 [b'001097.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1034 1.0 [b'001098.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1035 1.0 [b'001099.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1036 1.0 [b'001100.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1037 1.0 [b'001101.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1038 1.0 [b'001102.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1039 1.0 [b'001103.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1040 1.0 [b'001104.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1041 1.0 [b'001105.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1042 1.0 [b'001106.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1043 1.0 [b'001107.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1044 1.0 [b'001108.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1045 1.0 [b'001109.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1046 1.0 [b'001110.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1047 1.0 [b'001111.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1048 1.0 [b'001112.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1049 1.0 [b'001113.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1050 1.0 [b'001114.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1051 1.0 [b'001115.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1052 1.0 [b'001116.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1053 1.0 [b'001117.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1054 0.0 [b'001118.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l izumikawa_r
1055 1.0 [b'001119.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1056 1.0 [b'001120.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1057 1.0 [b'001121.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1058 1.0 [b'001122.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1059 1.0 [b'001123.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1060 1.0 [b'001124.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1061 1.0 [b'001125.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1062 1.0 [b'001126.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1063 1.0 [b'001127.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1064 1.0 [b'001128.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1065 1.0 [b'001129.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1066 1.0 [b'001130.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1067 1.0 [b'001131.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1068 1.0 [b'001132.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1069 1.0 [b'001133.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1070 1.0 [b'001134.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1071 1.0 [b'001135.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1072 1.0 [b'001136.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1073 1.0 [b'001137.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1074 1.0 [b'001138.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1075 1.0 [b'001139.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1076 1.0 [b'001140.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1077 1.0 [b'001141.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1078 1.0 [b'001142.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1079 1.0 [b'001143.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
1080 1.0 [b'001144.jpg'] [b'seesaa(sun)1-2_resized'] engi1_l engi1_l
